"","decimallongitude","decimallatitude","date_year","scientificname","coordinateuncertaintyinmeters","bathymetry","sst","sss"
"4732",53.042,24.647,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4733",53.053,24.644,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4734",53.065,24.635,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4735",53.069,24.636,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4736",53.072,24.635,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4737",53.067,24.635,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4738",53.095,24.626,2016,"Chelonia mydas",111.32,2,27.93,38.71
"4739",53.069,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4740",53.071,24.644,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4741",53.073,24.641,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4742",53.056,24.649,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4743",53.046,24.634,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4744",53.05,24.626,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4745",53.039,24.635,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4746",53.04,24.632,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4747",53.037,24.645,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4748",53.039,24.645,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4749",53.041,24.638,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4750",53.046,24.64,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4751",53.041,24.651,2017,"Chelonia mydas",111.32,6,27.91,38.67
"4752",53.041,24.647,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4753",53.04,24.657,2017,"Chelonia mydas",111.32,6,27.91,38.67
"4754",53.038,24.654,2017,"Chelonia mydas",111.32,6,27.91,38.67
"4755",53.04,24.644,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4756",53.044,24.644,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4757",53.049,24.646,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4758",53.056,24.645,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4759",53.069,24.641,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4760",53.031,24.631,2017,"Chelonia mydas",111.32,3,27.91,38.67
"4761",53.03,24.648,2017,"Chelonia mydas",111.32,4,27.91,38.67
"4762",53.055,24.639,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4763",53.078,24.64,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4764",52.829,25.572,2016,"Chelonia mydas",111.32,32,27.74,38.51
"4765",52.706,25.436,2016,"Chelonia mydas",111.32,24,27.67,38.52
"4766",52.741,25.403,2016,"Chelonia mydas",111.32,27,27.68,38.54
"4767",52.537,25.336,2016,"Chelonia mydas",111.32,19,27.6,38.52
"4768",52.448,25.173,2016,"Chelonia mydas",111.32,10,27.56,38.54
"4769",52.337,25.057,2016,"Chelonia mydas",111.32,14,27.56,38.53
"4770",52.166,24.857,2016,"Chelonia mydas",111.32,17,27.57,38.44
"4771",52.446,24.721,2016,"Chelonia mydas",111.32,32,27.7,38.51
"4772",52.405,24.621,2016,"Chelonia mydas",111.32,19,27.7,38.44
"4773",52.44,24.484,2016,"Chelonia mydas",111.32,18,27.75,38.34
"4774",52.416,24.187,2016,"Chelonia mydas",111.32,6,27.76,38.02
