"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
10436230,-23.4,-9.3,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-11","1997-07-11",1,1,1,,,,"5002:393:123","POLYGON((-23.3 -9.2,-23.3 -9.3,-23.4 -9.3,-23.4 -9.2,-23.3 -9.2))"
10436227,-23.3,-9.0,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-22","1998-06-22",2,1,1,,,,"5002:393:103","POLYGON((-23.3 -9,-23.3 -9.1,-23.4 -9.1,-23.4 -9,-23.3 -9))"
10436145,-23.3,-8.6,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-09","1997-07-09",1,1,1,,,,"5002:383:363","POLYGON((-23.3 -8.6,-23.3 -8.7,-23.4 -8.7,-23.4 -8.6,-23.3 -8.6))"
10436014,-23.4,-7.5,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-20","1998-06-20",1,1,1,,,,"5002:373:353","POLYGON((-23.3 -7.5,-23.3 -7.6,-23.4 -7.6,-23.4 -7.5,-23.3 -7.5))"
10435951,-23.3,-6.7,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-17","1997-07-17",1,1,1,,,,"5002:363:363","POLYGON((-23.3 -6.6,-23.3 -6.7,-23.4 -6.7,-23.4 -6.6,-23.3 -6.6))"
10436681,-23.2,-10.1,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-19","1998-06-19",1,1,1,,,,"5102:103:112","POLYGON((-23.2 -10.1,-23.2 -10.2,-23.3 -10.2,-23.3 -10.1,-23.2 -10.1))"
10436241,-23.2,-9.7,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-07-03","1998-07-03",1,1,1,,,,"5002:393:372","POLYGON((-23.2 -9.7,-23.2 -9.8,-23.3 -9.8,-23.3 -9.7,-23.2 -9.7))"
10436234,-23.3,-9.5,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-18","1997-07-18",1,1,1,,,,"5002:393:142","POLYGON((-23.2 -9.4,-23.2 -9.5,-23.3 -9.5,-23.3 -9.4,-23.2 -9.4))"
10436229,-23.2,-9.2,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-07-12","1998-07-12",1,1,1,,,,"5002:393:122","POLYGON((-23.2 -9.2,-23.2 -9.3,-23.3 -9.3,-23.3 -9.2,-23.2 -9.2))"
10436144,-23.2,-8.6,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-09","1997-07-09",2,1,1,,,,"5002:383:362","POLYGON((-23.2 -8.6,-23.2 -8.7,-23.3 -8.7,-23.3 -8.6,-23.2 -8.6))"
