sci.name,obsv.datetime,lat,lon,life.stage,bathy,SST,SSS,common.name
Caretta caretta,2012-04-23T17:51:02Z,14.75726,56.58375,Juvenile,2713,26.91,36.13,Loggerhead
Chelonia mydas,2017-05-11T12:00:00Z,25.739,55.808,NA,5,28.19,38.72,Green
Caretta caretta,2011-11-28T02:49:31Z,1.05158,53.29549,Juvenile,5102,28.18,35.37,Loggerhead
Chelonia mydas,2017-07-18T04:25:00Z,24.67,53.083,NA,6,27.91,38.69,Green
Chelonia mydas,2019-06-16T19:18:00Z,24.635,53.071,NA,2,27.91,38.67,Green
Caretta caretta,2011-12-07T06:33:01Z,1.29051,50.2588,Juvenile,5084,27.64,35.35,Loggerhead
Chelonia mydas,2018-04-15T06:37:00Z,24.579,53.098,NA,2,27.94,38.67,Green
Caretta caretta,2011-05-02T08:40:53Z,15.18418,57.11068,Juvenile,3160,26.88,36.13,Loggerhead
Chelonia mydas,2018-06-28T13:09:00Z,24.484,52.947,NA,8,27.92,38.61,Green
Chelonia mydas,2017-05-28T06:01:00Z,24.684,52.991,NA,13,27.86,38.67,Green
Caretta caretta,2011-04-09T13:52:13Z,15.61723,54.17137,Juvenile,2638,26.94,36.1,Loggerhead
Chelonia mydas,2017-03-30T14:22:00Z,24.711,54.348,NA,15,28.13,38.93,Green
Caretta caretta,2012-02-09T09:47:59Z,9.21343,50.751,Juvenile,35,26.21,35.65,Loggerhead
Chelonia mydas,2016-06-05T09:35:00Z,24.628,53.016,NA,6,27.91,38.67,Green
Caretta caretta,2012-05-18T04:50:29Z,15.33331,54.89505,Juvenile,2532,26.96,36.09,Loggerhead
Caretta caretta,2012-04-06T02:21:34Z,15.29423,55.60902,Juvenile,2700,27.01,36.09,Loggerhead
Caretta caretta,2012-02-26T18:15:24Z,9.2547,50.70873,Juvenile,16,26.17,35.65,Loggerhead
Chelonia mydas,2016-11-22T13:11:00Z,24.643,54.396,NA,10,28.14,38.93,Green
Chelonia mydas,2018-05-27T06:25:00Z,25.51,57.457,NA,230,28.13,36.72,Green
Caretta caretta,2011-02-04T15:14:45Z,4.44688,53.77236,Juvenile,5167,27.92,35.47,Loggerhead
Caretta caretta,2011-11-25T21:59:19Z,0.82835,44.3836,Juvenile,1867,26.99,35.2,Loggerhead
Chelonia mydas,2018-09-27T06:14:00Z,23.121,60.882,NA,3319,26.96,36.59,Green
Chelonia mydas,2017-04-26T06:22:00Z,24.543,52.977,NA,6,27.89,38.64,Green
Caretta caretta,2012-03-25T19:13:55Z,9.23747,50.69654,Juvenile,2,26.21,35.65,Loggerhead
Chelonia mydas,2016-11-30T23:36:00Z,20.595,58.914,NA,2,26.03,36,Green
Caretta caretta,2011-02-13T12:52:51Z,6.13555,54.27287,Juvenile,3383,27.67,35.56,Loggerhead
Chelonia mydas,2018-04-29T11:24:00Z,24.54,52.797,NA,11,27.86,38.56,Green
Caretta caretta,2012-05-18T09:47:39Z,15.2289,54.96166,Juvenile,2439,26.98,36.09,Loggerhead
Chelonia mydas,2016-11-09T22:32:00Z,24.075,53.686,NA,31,27.97,38.76,Green
Caretta caretta,2012-04-15T04:25:09Z,15.44829,55.92157,Juvenile,3221,26.99,36.1,Loggerhead
Chelonia mydas,2018-08-05T05:34:00Z,24.691,53.041,NA,12,27.91,38.69,Green
Caretta caretta,2011-04-04T03:59:26Z,15.40522,51.67786,Juvenile,3,27.01,36,Loggerhead
Caretta caretta,2012-02-13T03:51:38Z,16.69354,55.84887,Juvenile,3239,26.54,36.11,Loggerhead
Chelonia mydas,2019-06-26T19:10:00Z,24.637,53.039,NA,2,27.91,38.67,Green
Caretta caretta,2012-06-14T19:59:43Z,19.11869,61.82464,Juvenile,3614,27.03,36.32,Loggerhead
Chelonia mydas,2016-07-29T23:35:00Z,25.755,55.75,NA,10,28.14,38.7,Green
Chelonia mydas,2016-11-26T22:35:00Z,20.577,58.942,NA,9,25.98,36.1,Green
Caretta caretta,2011-01-13T00:25:40Z,7.202,59.74192,Juvenile,3477,28.47,35.79,Loggerhead
Chelonia mydas,2019-06-13T12:36:00Z,24.524,53.038,NA,5,27.93,38.65,Green
Chelonia mydas,2019-06-05T15:32:00Z,24.646,53.105,NA,3,27.93,38.71,Green
Caretta caretta,2012-06-18T16:45:02Z,19.70898,61.80824,Juvenile,3568,27.01,36.33,Loggerhead
Chelonia mydas,2016-08-06T11:16:00Z,24.382,53.787,NA,4,28.04,38.81,Green
Caretta caretta,2011-04-21T17:44:07Z,16.54334,54.24945,Juvenile,2472,26.65,36.06,Loggerhead
Caretta caretta,2012-05-27T19:42:26Z,17.42978,56.62965,Juvenile,1874,26,36.04,Loggerhead
Chelonia mydas,2018-03-27T12:35:00Z,24.427,53.052,NA,7,27.96,38.64,Green
Chelonia mydas,2016-12-11T10:36:00Z,24.966,56.488,NA,58,28.5,36.84,Green
Chelonia mydas,2019-06-17T17:09:00Z,24.636,53.054,NA,2,27.91,38.67,Green
Chelonia mydas,2016-08-01T14:52:00Z,25.704,55.678,NA,11,28.19,38.73,Green
Chelonia mydas,2018-06-13T23:31:00Z,25.384,55.204,NA,21,28.25,38.95,Green
Chelonia mydas,2019-06-02T15:14:00Z,24.634,53.396,NA,14,28.01,38.76,Green
Caretta caretta,2012-06-18T19:19:30Z,19.75982,61.74472,Juvenile,3573,26.97,36.32,Loggerhead
Chelonia mydas,2016-08-17T02:18:00Z,25.478,54.595,NA,36,28.3,38.69,Green
Caretta caretta,2011-03-28T10:18:14Z,16.53515,54.35412,Juvenile,2444,26.64,36.07,Loggerhead
Chelonia mydas,2019-06-25T19:30:00Z,24.635,53.067,NA,2,27.91,38.67,Green
Caretta caretta,2012-04-21T07:44:12Z,14.70541,55.50667,Juvenile,2675,27.04,36.09,Loggerhead
Chelonia mydas,2018-05-31T13:29:00Z,21.504,60.567,NA,3170,26.61,36.38,Green
